date	account	category	amount	currency	converted amount	currency	description
19.09.2023	Наличные	Еда	-20	UAH	-20	UAH	
19.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
20.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
20.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
20.09.2023	Наличные	Еда	-100	UAH	-100	UAH	
21.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
21.09.2023	Наличные	Еда	-185	UAH	-185	UAH	
22.09.2023	Наличные	Здоровье	-129	UAH	-129	UAH	Аптека
25.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
25.09.2023	Наличные	Развлечения	-100	UAH	-100	UAH	Работа ДР
25.09.2023	Наличные	Еда	-50	UAH	-50	UAH	
25.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
26.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Прое
26.09.2023	Наличные	Еда	-25	UAH	-25	UAH	
27.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
27.09.2023	Наличные	Еда	-55	UAH	-55	UAH	
28.09.2023	Наличные	Еда	-77	UAH	-77	UAH	
28.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
28.09.2023	Наличные	Еда	-120	UAH	-120	UAH	
28.09.2023	Наличные	Здоровье	-277	UAH	-277	UAH	Аптека мне
29.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
30.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
02.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
02.10.2023	Наличные	Еда	-160	UAH	-160	UAH	
02.10.2023	Наличные	Еда	-26	UAH	-26	UAH	
02.10.2023	Наличные	Еда	-50	UAH	-50	UAH	
02.10.2023	Наличные	Еда	-107	UAH	-107	UAH	
03.10.2023	Наличные	Транспорт	-60	UAH	-60	UAH	Проезд
03.10.2023	Наличные	Еда	-43	UAH	-43	UAH	
04.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
04.10.2023	Наличные	Еда	-29	UAH	-29	UAH	
05.10.2023	Наличные	Развлечения	-77	UAH	-77	UAH	Сигареты
05.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
06.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
07.10.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
07.10.2023	Наличные	Жилье	-600	UAH	-600	UAH	Уборка Оксана
07.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
07.10.2023	Наличные	Развлечения	-77	UAH	-77	UAH	Сигареты
09.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
09.10.2023	Наличные	Еда	-110	UAH	-110	UAH	
10.10.2023	Наличные	Транспорт	-15	UAH	-15	UAH	Проезд
10.10.2023	Наличные	Счета	-200	UAH	-200	UAH	Дала Вите
10.10.2023	Наличные	Жилье	-84	UAH	-84	UAH	Батарейки
10.10.2023	Наличные	Еда	-79	UAH	-79	UAH	
10.10.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
11.10.2023	Наличные	Еда	-54	UAH	-54	UAH	
11.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
12.10.2023	Наличные	Транспорт	-40	UAH	-40	UAH	Проез
12.10.2023	Наличные	Еда	-65	UAH	-65	UAH	
12.10.2023	Наличные	Гигиена	-380	UAH	-380	UAH	Крема мне
13.10.2023	Наличные	Транспорт	-15	UAH	-15	UAH	Проезд
13.10.2023	Наличные	Еда	-520	UAH	-520	UAH	Рыба
13.10.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято у Вити
13.10.2023	Наличные	Жилье	-400	UAH	-400	UAH	Наушники
13.10.2023	Наличные	Еда	-256	UAH	-256	UAH	
14.10.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
14.10.2023	Наличные	Гигиена	-700	UAH	-700	UAH	Парикмахер
14.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
14.10.2023	Наличные	Еда	-42	UAH	-42	UAH	
16.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
16.10.2023	Наличные	Еда	-32	UAH	-32	UAH	
16.10.2023	Наличные	Жилье	-20	UAH	-20	UAH	Химия
17.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
17.10.2023	Наличные	Здоровье	-268	UAH	-268	UAH	Аптека мама 
17.10.2023	Наличные	Счета	-500	UAH	-500	UAH	Дала Витя
17.10.2023	Наличные	Еда	-10	UAH	-10	UAH	
18.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
18.10.2023	Наличные	Еда	-15	UAH	-15	UAH	
19.10.2023	Наличные	Транспорт	-50	UAH	-50	UAH	Проезд
19.10.2023	Наличные	Еда	-25	UAH	-25	UAH	
19.10.2023	Наличные	Еда	-15	UAH	-15	UAH	
19.10.2023	Наличные	Еда	-70	UAH	-70	UAH	
19.10.2023	Наличные	Жилье	-70	UAH	-70	UAH	Салфетница
19.10.2023	Наличные	Здоровье	-40	UAH	-40	UAH	Аптека
19.10.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
19.10.2023	Наличные	Сбережения	50000	UAH	50000	UAH	Дал Сережа
19.10.2023	Наличные	Еда	-175	UAH	-175	UAH	
19.10.2023	Наличные	Счета	-50000	UAH	-50000	UAH	Положено в тумбочку
20.10.2023	Наличные	Здоровье	-650	UAH	-650	UAH	Анализы мне
21.10.2023	Наличные	Жилье	-700	UAH	-700	UAH	Уборка Оксана
23.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
24.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Прлезд
24.10.2023	Наличные	Одежда	-160	UAH	-160	UAH	Носки мама
24.10.2023	Наличные	Еда	-71	UAH	-71	UAH	
24.10.2023	Наличные	Еда	-49	UAH	-49	UAH	
26.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
26.10.2023	Наличные	Жилье	-80	UAH	-80	UAH	Банка
27.10.2023	Наличные	Здоровье	-1000	UAH	-1000	UAH	Врач мне
27.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
27.10.2023	Наличные	Гигиена	-25	UAH	-25	UAH	Пинцет
27.10.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
28.10.2023	Наличные	Жилье	-600	UAH	-600	UAH	Уборка Оксана
28.10.2023	Наличные	Развлечения	-228	UAH	-228	UAH	Сига
28.10.2023	Наличные	Еда	-80	UAH	-80	UAH	
30.10.2023	Наличные	Здоровье	-500	UAH	-500	UAH	Узи гинеколог
30.10.2023	Наличные	Еда	-80	UAH	-80	UAH	
30.10.2023	Наличные	Жилье	-269	UAH	-269	UAH	Чайник прес
30.10.2023	Наличные	Подарки	-250	UAH	-250	UAH	Чехол маме на др
30.10.2023	Наличные	Гигиена	-120	UAH	-120	UAH	Чистящее
30.10.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
30.10.2023	Наличные	Транспорт	-15	UAH	-15	UAH	Проезд
31.10.2023	Наличные	Развлечения	-76	UAH	-76	UAH	Сигареты
31.10.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
